0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
1,16,8,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,3,4,4,2,1,1,1,2,0,0,3,0,1,4,8,0,8,14,5,4,4,1,0,0,0,0,0
2,20,9,1,1,5,0,0,0,2,0,3,0,0,1,0,1,4,0,1,1,3,1,2,0,2,0,2,1,0,0,2,4,5,4,1,6,2,5,2,3,2,3,1,3,2,7,4,2,0,1,1,2,0,2,0,0,0,0,6,4,1,3,1,0,2,2,2,0,4,0,4,2,4,4,9,5,1,3,0,4,0,2,2,4,0
3,19,2,0,0,8,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,1,0,2,0,0,1,1,0,1,2,0,1,0,2,0,0,2,1,2,2,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,3,0,1,1,4,1,0,2,13,0
4,3,1,0,1,1,0,0,1,0,0,1,1,1,4,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,4,1,0,1,0,1,0,1,3,5,5,6,5,8,7,6,6,5,1,1,2,1,1,1,0,1,1,0,1,0,0,2,2,5,3,0,0,2,4,4,3,3,0,1,2,3,1,0,0,1,0,0,2,2,0
5,0,5,2,0,6,3,4,0,0,1,0,2,1,1,0,0,0,0,0,1,1,0,2,0,0,1,1,1,0,0,1,1,1,0,0,2,2,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,4,1,0,4,2,3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,1,7,4,2,3,2,2,2,0,1,0,3,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,3,1,1,0,1,1,0,1,1,2,1,1,6,3,5,0,7,2,5,2,1,0,0,0,0,0,0,1,4,1,2,0,1,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,3,7,4,1,7,7,2,6,1,3,0,4,0,0,1,0,0,1,0,2,0,2,3,3,0,3,3,2,3,0,0,3,5,1,5,3,4,6,7,8,3,1,2,2,6,5,5,2,3,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,0,0,1,0,3,0
9,0,0,0,0,1,6,4,4,5,6,1,5,5,1,1,5,0,0,1,0,3,0,0,4,0,1,4,2,0,2,2,0,1,0,0,2,3,3,7,6,3,6,3,5,6,4,2,5,5,4,6,0,4,2,2,0,1,1,0,0,0,1,0,0,3,1,1,0,0,3,2,6,3,0,0,0,0,0,1,0,0,0,0,0,0
10,0,0,0,0,2,5,3,4,4,8,1,6,4,2,0,5,1,0,0,0,1,0,0,3,0,1,1,1,0,1,3,5,2,1,2,4,4,2,4,4,2,1,2,2,2,2,1,6,6,4,4,3,2,3,6,3,2,1,3,0,0,1,2,1,5,4,3,1,1,7,4,4,3,0,0,1,0,0,0,0,3,0,2,1,0
11,1,2,0,0,0,4,2,3,8,9,0,7,3,1,1,3,1,0,1,0,3,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,2,3,4,4,2,1,0,2,0,1,2,0,2,0,3,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,1,1,0
12,0,0,0,0,1,7,5,3,8,7,1,7,8,3,0,5,0,0,0,0,2,0,0,6,0,2,1,1,1,3,2,2,3,0,1,1,2,2,5,3,0,4,2,1,2,1,1,2,9,5,7,3,5,4,2,0,3,1,1,1,0,1,0,0,1,0,1,0,0,4,0,5,3,1,0,0,0,1,1,0,0,0,0,1,0
13,0,0,0,0,0,4,4,1,3,5,1,3,2,2,0,7,2,3,0,0,1,0,0,2,0,1,0,3,0,2,0,0,1,0,1,2,3,2,6,1,1,2,1,0,0,1,1,2,9,4,8,1,5,5,4,4,1,1,0,0,0,0,0,1,1,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,0,9,4,5,4,8,1,8,13,3,0,8,2,2,0,0,4,0,1,7,1,2,3,3,2,5,3,2,0,1,1,5,3,5,8,3,1,3,2,4,2,3,2,4,6,7,9,3,3,2,2,6,5,0,2,0,1,0,0,0,2,0,0,0,0,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,3,2,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,3,1,3,4,4,5,2,5,2,4,4,1,1,1,0,0,0,0,0,4,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,4,3,1,0,1,4,0,0,0,3,0,0,2,0,0,0,0,0,1,1,2,1,1,2,1,1,1,0,2,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,1,2,1,1,2,0,2,3,3,0,3,0,1,1,0,4,3,2,3,1,4,1,3,1,3,0,2,2,0,0,0,2,1,4,1,3,2,1,3,4,1,3,5,2,3,2,3,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,6,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0
18,0,3,0,0,0,1,1,0,1,3,0,2,2,1,0,1,0,1,1,0,4,3,1,4,0,0,1,2,1,2,1,2,3,2,1,2,2,0,2,1,1,2,1,2,2,4,4,2,4,3,4,3,2,2,3,2,0,2,4,2,2,2,1,1,1,2,2,2,1,3,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0
19,0,0,0,0,0,12,4,5,8,3,1,8,7,4,0,7,1,2,0,1,5,1,2,8,1,3,0,3,2,5,2,3,3,1,3,3,5,4,10,3,5,9,0,3,6,2,6,10,10,9,13,1,7,2,8,3,2,1,1,1,1,1,1,1,6,3,2,0,3,9,3,5,2,1,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,2,0,2,0,1,5,2,2,1,1,2,1,0,0,6,1,0,4,5,0,2,1,0,6,4,4,2,0,1,1,0,3,4,6,3,4,1,5,1,1,5,0,2,2,0,1,2,0,1,2,1,2,0,3,5,2,5,4,0,0,0,1,0,0,0,2,0,0,0,0
21,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,2,7,3,5,1,5,1,3,3,0,2,0,1,1,1,0,0,0,0,3,2,2,1,0,2,1,3,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
22,2,0,0,1,0,3,0,1,1,6,0,1,1,1,1,2,0,0,2,2,7,6,6,5,4,6,1,1,2,8,0,1,7,1,0,0,2,0,5,0,4,3,0,2,1,2,4,5,5,4,6,1,3,1,2,1,0,1,3,0,1,1,1,1,3,1,0,0,2,4,2,5,0,3,1,0,0,0,3,1,2,1,0,0,0
23,2,0,0,0,1,3,4,0,2,10,1,5,5,2,0,4,1,0,0,4,8,2,1,8,2,9,5,0,0,12,7,4,6,6,2,5,5,2,6,2,5,0,0,4,0,4,2,2,7,9,5,2,7,1,4,6,2,0,1,1,0,0,0,0,1,1,1,0,1,7,1,2,0,0,0,0,1,0,1,1,4,1,0,0,0
24,2,1,1,0,0,4,1,1,0,1,0,0,6,1,0,2,1,2,1,1,2,1,5,4,2,6,0,3,0,7,2,0,2,1,2,1,1,0,3,1,1,2,0,1,0,3,4,5,6,3,5,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
25,2,2,0,0,1,4,1,0,0,1,1,0,4,0,0,2,0,0,0,2,0,2,1,2,0,4,2,1,0,7,2,1,1,3,1,4,2,0,3,1,0,0,0,1,1,4,4,4,3,4,6,2,2,1,3,2,2,1,2,1,2,2,0,0,5,0,0,3,2,5,2,6,1,4,3,2,3,2,1,4,4,0,0,2,0
26,1,0,0,0,1,3,1,2,0,0,0,1,4,1,0,2,0,0,0,5,9,2,3,5,6,8,2,4,0,3,2,2,5,3,1,5,2,2,10,1,3,0,1,2,1,5,2,5,4,7,5,1,3,3,4,3,1,2,3,0,1,1,0,0,3,0,0,0,2,4,0,4,1,0,0,0,0,2,1,1,0,1,0,0,0
27,1,0,0,0,2,2,1,0,2,6,1,1,2,1,0,2,0,0,0,1,7,0,3,4,4,9,3,3,18,35,34,32,32,19,15,23,22,20,31,23,7,3,0,5,3,13,19,11,16,7,6,5,5,1,0,1,0,0,7,1,3,1,0,1,4,15,4,5,1,9,10,12,6,3,3,3,9,1,0,0,4,1,1,0,0
