warp_points,warp_disp,plate,matches,inliers
15,0,34,587,577
15,1,34,422,410
15,2,34,456,417
15,3,34,405,392
15,4,34,369,343
15,5,34,333,269
15,6,34,349,293
15,7,34,337,271
15,8,34,272,172
15,9,34,306,155
15,10,34,232,140
15,11,34,265,167
15,12,34,204,101
15,13,34,154,82
15,14,34,125,54
15,15,34,193,93
15,16,34,139,72
15,17,34,160,98
15,18,34,167,88
15,19,34,109,38
15,20,34,154,72
15,21,34,105,65
15,22,34,96,48
15,23,34,132,47
15,24,34,150,87
15,25,34,58,28
15,26,34,33,12
15,27,34,52,15
15,28,34,82,31
15,29,34,92,33
