S Level,PW Level,Inliers,Homography Det,SVD
1,1,1955,1,1
39,1,39,10.51426034,20656
65,1,46,2.632854722,37608
2,2,3324,1,1
16,2,102,1.108942219,22495
3,3,1310,1,1
16,3,30,1.545251487,59055
4,4,2073,1,1
17,4,56,3.82878258,12388
49,4,39,6.195164821,5581
67,4,39,3.203955937,69590
5,5,1498,1,1
7,5,55,1.541304114,92
15,5,29,32.56646613,10031
68,5,27,618.2376974,22160
6,6,490,1,1
5,7,26,0.873578395,3724
6,7,44,1.376867846,243
7,7,400,1,1
8,7,34,1.236733343,675
26,7,17,161.8922326,27068
47,7,10,5.236764132,69286
72,7,13,5.872000955,18588
6,8,49,5.20654885,2026
7,8,46,1.211245554,229
8,8,517,1,1
35,8,28,11.47293711,10510
50,8,33,2.220558735,1448
6,9,29,6.894226735,1295
7,9,18,1.996113214,191
8,9,36,0.890831871,34
9,9,328,1,1
10,9,34,1.302392261,961
47,9,11,8.414350873,46702
66,9,21,626.5590441,8525
10,10,486,1,1
7,11,37,217.5038046,6491
11,11,1140,1,1
27,11,44,3.793164376,5725
29,11,39,1414.013275,18606
12,12,509,1,1
14,12,54,3.106995571,9998
20,12,25,4.485986808,32785
13,13,668,1,1
20,13,44,3.732844705,2277
14,14,385,1,1
20,14,33,76.3694725,23005
15,15,3207,1,1
16,16,910,1,1
18,16,106,1.202854192,127
20,16,94,1.970521081,159
32,16,72,1.385835089,299
46,16,42,4.622870179,1561
15,17,827,0.996137347,56
17,17,2963,1,1
43,17,165,1.477927243,1045
11,18,111,2.835945934,585
18,18,1124,1,1
15,19,527,1.047973824,28
17,19,982,1.010884876,107
19,19,3517,1,1
49,19,139,1.432171018,10613
18,20,94,0.616168196,28
20,20,813,1,1
38,20,51,0.260407712,5927
54,20,54,4.68081088,2052
15,21,589,1.14068112,297
17,21,754,1.169154446,12
19,21,875,1.014172902,212
21,21,3660,1,1
27,21,627,1.043715455,165
31,21,367,0.747372946,13
33,21,173,0.782951016,2
37,21,177,154.2560128,18404
15,22,274,1.879081989,1045
17,22,342,1.247307949,11
21,22,574,1.557769811,52
22,22,2164,1,1
23,22,578,1.041334668,12
27,22,280,2.540017772,2100
31,22,184,1.795860869,762
35,22,137,1.42982141,1150
19,23,663,1.361748227,176
21,23,831,1.539926512,48
23,23,3324,1,1
31,23,346,1.032689287,9
38,23,71,2.56316593,6857
43,23,161,1.314676407,36
45,23,163,1.685772728,559
24,24,725,1,1
30,24,80,4.20389649,226
32,24,54,1.487968896,44
68,24,32,15.31648782,53210
17,25,452,1.418474472,612
19,25,568,0.826303592,416
21,25,534,1.025353748,134
23,25,1079,0.667959256,58
25,25,4245,1,1
27,25,860,1.017268224,330
29,25,852,0.710854098,65
31,25,448,0.703422255,69
39,25,227,1.022411067,1186
43,25,172,1.123872511,898
45,25,199,2.856501701,5471
3,26,34,151.4503645,42071
18,26,63,1.352226059,2352
26,26,967,1,1
36,26,62,2.355921228,187
48,26,47,1.376988409,81
72,26,51,2.505426958,1019
15,27,337,1.39709746,387
17,27,382,1.196614973,235
19,27,369,0.949885929,27
21,27,592,0.946171959,132
23,27,726,0.642040557,192
25,27,871,0.911925777,436
27,27,3860,1,1
29,27,869,0.642868728,152
41,27,138,2.542513715,3162
43,27,223,1.005857196,27
45,27,143,1.476852659,1293
11,28,44,4.254721938,13199
18,28,42,1.305899235,61
24,28,67,1.16167865,531
26,28,109,0.959485053,115
27,28,27,3.228207889,2040
28,28,609,1,1
36,28,30,3.889394075,1514
42,28,36,3.839588703,1607
46,28,25,3.881322425,948
17,29,356,1.260564737,260
19,29,396,1.192571691,178
22,29,242,0.833749617,581
23,29,706,1.026811528,21
27,29,790,1.583131555,150
29,29,3131,1,1
33,29,351,1.287553675,17
37,29,299,1.100513057,55
39,29,225,1.088054973,271
41,29,179,1.600252439,748
43,29,213,2.266739029,1121
45,29,221,1.931657569,613
49,29,207,2.665706167,2695
51,29,151,4.766440459,2346
30,30,489,1,1
51,30,18,29.34709733,2954
17,31,179,1.473134164,138
21,31,302,1.459628677,38
23,31,359,0.91186695,74
25,31,356,1.428118006,10
29,31,781,0.931102582,3
31,31,2725,1,1
33,31,534,1.086179106,9
37,31,293,1.13202168,341
39,31,262,1.288447704,682
41,31,175,1.72339024,731
43,31,231,2.387962357,1807
45,31,163,1.758431267,990
49,31,134,1.815149598,1581
24,32,92,1.179612764,364
32,32,982,1,1
36,32,38,1.909576678,69
42,32,58,1.186604829,164
48,32,35,1.002600773,586
17,33,139,0.813483325,817
31,33,466,1.019847658,15
33,33,2422,1,1
37,33,294,1.104451621,260
39,33,199,1.260290863,515
41,33,221,1.490610631,1019
43,33,155,1.355676435,1178
45,33,167,1.030665822,481
61,33,62,1.562827036,33170
9,34,29,15.84334218,45602
32,34,60,1.015366067,157
34,34,483,1,1
36,34,40,1.111738999,807
38,34,46,1.351065932,303
46,34,22,9.024873956,3778
54,34,36,1.591889006,716
17,35,138,2.053017879,1051
19,35,114,1.128367564,573
21,35,142,2.842088609,2874
25,35,214,1.543247105,115
27,35,240,1.930935692,869
29,35,267,1.2472061,320
31,35,436,1.260160496,131
33,35,489,1.232669257,131
35,35,2658,1,1
37,35,450,1.278770631,408
39,35,353,1.519415665,681
41,35,214,2.351036948,1441
43,35,236,2.002042571,1120
45,35,184,2.644884467,1909
47,35,151,1.202437033,2415
36,36,1222,1,1
38,36,95,1.562642764,190
40,36,40,1.392751941,78715
52,36,55,5.996359744,5518
58,36,54,1.43679106,317
60,36,47,12.26179955,4767
1,37,69,0.686709894,89427
2,37,56,5.684597925,43579
21,37,93,1.205868586,59
27,37,169,1.221139744,211
31,37,255,1.051910799,107
37,37,2681,1,1
39,37,681,1.089910878,34
41,37,317,1.454820529,431
43,37,237,1.559999113,390
45,37,194,2.141820549,1187
51,37,154,1.735651746,1204
53,37,130,1.412442731,1519
55,37,101,209.8836094,24498
67,37,46,34.22940368,21428
16,38,49,293.2743551,7313
18,38,52,5.357153085,72566
25,38,33,616.5744619,35932
27,38,40,13.72319327,7261
36,38,94,0.954981406,245
38,38,1593,1,1
42,38,113,1.094286355,169
43,38,29,17.9860215,6397
54,38,72,1.337770546,1354
55,38,28,3.151884027,2224
15,39,117,4.798597454,3996
17,39,120,1.482300584,213
19,39,106,2.332036452,532
25,39,162,1.095737042,738
29,39,201,1.050931215,207
31,39,260,1.077313359,124
37,39,708,0.954140406,13
39,39,2785,1,1
41,39,498,1.529431588,533
43,39,392,1.452822475,240
45,39,246,1.396140514,397
49,39,151,2.074299068,973
51,39,149,2.201120454,1395
59,39,94,35.97193975,18185
16,40,67,0.822107022,16
31,40,38,1.576297397,59652
36,40,50,22.51686932,12138
38,40,112,1.134807158,91
40,40,1702,1,1
42,40,135,1.509184805,372
46,40,73,2.55557085,1080
48,40,80,1.457932254,259
49,40,44,368.5612556,19953
50,40,89,1.238627772,56
54,40,90,3.219245461,1709
58,40,73,1.074789362,54
