SW Level,PW Level,Inliers,Homography Det,SVD
1,39,94,0.593806221759,52729
1,109,67,0.892707569329,50484
1,158,90,0.160541999266,21295
1,143,69,0.61390980567,25780
2,27,42,0.217315008428,320540
2,39,79,0.0558055056027,405334
2,59,44,380.34983996,17495
2,71,80,0.556796509797,17637
2,111,98,0.0313135155884,160237
2,95,65,0.112374121759,15693
2,114,74,0.017537291718,264096
2,107,52,0.00257261399162,957359
2,118,87,0.0309355170499,61234
2,148,133,4.73579250517,22775
3,2,45,0.118788005173,119878
3,35,43,0.0590725451296,261094
3,49,46,0.0537577612208,233938
3,67,56,0.836786625527,112514
3,62,39,220.739954533,126831
3,83,55,2.52684904266,34089
3,91,56,0.65429347085,53641
3,111,79,0.700337361571,142405
3,95,50,0.0435236499071,61478
3,103,53,12.600336285,16401
3,105,93,0.0629188641055,92047
3,151,48,0.177447764998,156269
3,142,73,2.1477341902,28033
3,153,64,0.0706861676648,223196
4,23,56,0.0130273329856,796944
4,4,64,0.0586855911784,12926
4,5,70,0.0606346219201,197875
4,35,44,0.0140078013715,366804
4,15,43,0.0195759236288,333928
4,16,39,0.0505631665885,150443
4,20,27,3.16345257901,81629
4,31,47,5292.96944205,17051
4,48,35,120.749813796,89656
4,43,27,0.763987692075,13803
4,44,40,0.16889627053,42775
4,79,32,0.020700945942,155886
4,61,51,0.0980464518825,213256
4,72,37,0.037801082537,610106
4,90,53,0.449985454975,147513
4,77,35,0.0510725819318,402297
4,96,34,11.178167795,63203
4,106,36,255.939106052,193374
4,99,43,0.0404493511898,37359
4,107,36,0.0552917652756,55328
4,109,42,0.49569609132,121567
4,130,39,0.125214780787,54517
4,146,42,0.0401466249179,78575
4,138,38,0.356456079925,85569
5,3,51,1.29644635885,83093
5,5,42,4.59190245873,35204
5,35,37,0.069278369061,9363
5,11,50,0.655857379548,80451
5,79,38,0.060475780051,286973
5,93,31,0.0866527225504,34585
5,101,51,22.3529815031,22405
5,87,46,0.00434867912897,1856428
5,128,48,0.778498458165,61727
5,130,33,0.0138459899512,59987
5,155,45,0.0413542648149,93196
5,147,46,17.4220182022,10660
5,140,55,0.0229709295819,126538
6,5,43,0.0395141324872,100443
6,35,38,0.00374574508066,366872
6,26,35,0.0669582837954,222687
6,69,32,0.498492321381,148598
6,81,37,0.036421402745,612178
6,112,60,0.0425751728668,14432
6,99,50,0.00365546771152,95835
6,110,52,0.0857607275102,63036
6,155,42,0.23575754654,49189
7,7,67,0.00179207602378,335729
7,11,48,0.0486510854514,375639
7,85,33,0.0232959562188,132443
7,76,31,0.011603140779,157263
7,87,32,0.0113709205327,57801
7,140,48,0.0260573277514,50551
8,3,38,1.2914532216,138533
8,14,86,44.6840251235,13057
8,16,38,0.338750293566,2540
8,38,34,0.0362464606125,234184
8,41,30,0.00480906123518,748709
8,67,24,0.0428020575118,477295
8,122,34,0.0241575524239,126771
8,129,36,2.66842346107,210115
8,130,28,0.594831225194,58182
9,3,112,0.0181631731674,126249
9,56,126,0.100163239177,319270
9,52,56,0.0258396099498,404988
9,75,55,0.00259032816551,1391581
9,93,58,0.00892858556766,2523863
9,157,67,0.00306064901593,813251
9,150,74,0.00175572487472,559052
9,153,62,0.0220539680507,219812
10,3,64,0.00862229513533,583328
10,25,58,0.0560956303187,291496
10,26,50,0.512444321044,102365
10,9,64,0.0810278945427,100235
10,43,37,0.001255072703,915707
10,62,63,0.45395728081,414843
10,54,80,0.047101188496,160835
10,83,48,0.0229915793965,261338
10,89,52,0.022946285076,137115
10,84,61,0.066115407026,217029
10,75,50,0.134136284384,160979
10,103,62,0.00396309337654,406353
10,112,70,0.348786109012,3461
10,107,76,0.00736423440652,223695
10,126,67,0.0234516415436,81685
10,128,53,0.601122177295,67027
10,110,63,0.236665383296,5690
10,144,69,0.00280077804653,284125
11,2,57,0.00421302071188,202001
11,5,103,0.00889163181675,283512
11,39,72,0.0796128360426,90791
11,85,43,0.00334807306342,760400
11,91,59,0.0897444871475,98156
11,95,55,0.00235352333648,1529081
11,117,87,0.014417766641,185533
11,130,100,2.90538056024,35557
12,9,67,0.0585282439386,114431
12,29,30,0.0226611170074,657393
12,103,42,0.00688782651164,92074
12,134,59,0.0555356218604,371624
12,121,46,0.0167420984874,427569
12,153,42,0.00219805637982,1587610
13,15,58,0.0208246367241,575221
13,69,50,0.00732641409774,452151
13,64,40,0.0145489244757,157456
13,74,51,0.695322015016,187596
13,92,51,0.0507202576665,102356
13,122,48,0.0700917900836,3866
13,112,57,0.0106856040665,36439
13,133,54,1.02908482609,97178
13,131,73,0.32056204022,170071
14,3,67,0.00514531380835,719872
14,14,90,3.21158677457,8527
14,67,39,0.00442125962103,2191981
14,89,34,0.0103019651983,308645
14,65,51,0.00180755056791,3285957
